Kelas;Soal;A;B;C;D;E;Jawaban
2;Kata sarapan sama artinya dengan ...;Makan siang;Makan pagi;Makan Malam;Makan sore;#;B
2;... yang menolong bintang?;Siapa;Bagaimana;Mengapa;Dimana;#;A
2;Bintang berdiri dibarisan paling...?;Tengah;Depan;Belakang;Samping;#;B
2;Ibu membeli bayam sebanyak dua...?;Ikat;Ekor;butir;buah;#;A
2;Tokoh binatang yang dalam dongeng terkenal cerdik adalah ...?;Buaya;Kancil;Kerbau;Harimau;#;B
2;Tubuhku besar, telingaku lebar, hidungku panjang aku adalah...?;Gajah;Unta;Sapi;Badak;#;A
2;Ibu (beli) tanaman hias. Kata yang tepat untuk menggantikan kata dalam kurung adalah...?;Dibeli;Membeli;Terbeli;Dibelikan;#;B
2;Agar tumbuh subur tanaman harus diberi...;Makanan;Pupuk;Tanah;Air;#;B
2;Kemana kamu akan pergi Tanda baca yang harus ditambahkan pada akhir kalimat diatas adalah...?;? (tanda tanya);! (tanda seru);. (tanda titik);, (tanda koma);#;A
2;Kalimat yang mengungkapkan ketidaksukaan adalah;Aku tidak suka bernyanyi ?;Aku sangat suka bermain boneka ?;Sukakah kamu pada boneka itu ?;Aku benci makan sayur;#;A
2;Yang merupakan peralatan makanan ...?;Gunting;Handuk;Sendok;Sapu;#;C
2;Imam minum sepuasnya karena ...?;Haus;Lapar;Lelah;Sakit;#;A
2;Penulisan kalimat yang benar adalah ...?;Ifa menggendong Adiknya;Ifa Menggendong adiknya;Ifa menggendong adiknya;Ifa menggendong Adiknya;#;C
2;Penulisan nama yang benar;Danil Ristiawan kaunang;Danil ristiawan Kaunang;Danil Ristiawan Kaunang;Danil ristiawan kaunang;#;C
2;Paman mengemudikan kereta api paman seorang ...?;Masinis;Nahkoda;Pilot;Sopir;#;A
2;Ibu berpesan untuk membeli benda di bawah ini. telor ayam Bagaimana kamu berkata kepada penjual telur ...?;Beli telur enam kilo pak;Beli telur enam butir pak;Beli telur enam puluh ribu pak;Beli telur enam bungkus pak;#;B
2;Mereka pergi...pasar ikan hias;Di;Dari;Ke;Pada;#;C
2;Kakak membeli ...untuk dibuat sambal;Cabai;Beras;Bayam;Tomat;#;A
2;Seluruh penduduk bergotong royong. Kata bergotong royong dapat diganti dengan kata;Bekerja keras;Bekerja santai;Bekerja bakti;Bekerja sama;#;C
2;Pakaianmu putih bersih Kau rawat pasienmu Dengan penuh keikhlasan Penggalan puisi tersebut menceritakan tentang seorang...;Perawat;Dokter;Mantri;Bidan;#;A
2;Mendengarkan pesan harus dengan...;seksama;acuh tak acuh;sesuka hati;malas;#;A
2;Kita harus menaati ... sekolah. Kata yang tepat untuk melengkapi kalimat tersebut adalah...;pengumuman;tata tertib;keadaan;peraturan;#;B
2;sombong -- dijauhi -- yang -- anak -- teman. Susunan kalimat tersebut yang benar adalah...;Anak yang sombong dijauhi teman.;Anak yang sombong teman jauhi.;Anak teman yang sombong dijauhi.;Teman yang sombong dijauhi anak.;#;A
2;... kecelakan mobil terjadi? Kata tanya yang tepat untuk melengkapi kalimat tersebut adalah...;Apa;kapan;Siapa;Dimana;#;B
2;Gigi Salma sakit karena banyak berlubang. Ibu membawa Salma ke dokter...;kulit;gigi;mata;anak;#;B
2;Aku seekor burung Banyak orang yang menyukaiku Aku pandai menirukan suara manusia Aku adalah burung...;garuda;parkit;beo;kakak tua;#;C
2;Hal berikut yang tidak perlu diperhatikan dalam mendengarkan pesan pendek adalah...;Mencatat isi pesan;Menyampaikan isi pesan kepada orang lain;Tidak mendengarkan pesan;Mengabaikan pesan;#;C
2;Aku seekor binatang - kakiku empat - aku memakan tumbuhan - aku melahirkan anak - aku memamah biak Namaku adalah...;sapi;buaya;kucing;kambing;#;A
2;Jika ingin meminjam barang milik orang lain, sebaiknya...;merebut;minta ijin;Langsung memakai;memaksa;#;B
2;Amir tidah pernah berbohong. Tidak pernah berbohong sama artinya dengan...;menipu;berdusta;jujur;benar;#;C
2;Tugas pokok anak sekolah ...;belajar;berkarya;bekerja;bermain;#;A
2;Aku setangkai bunga - Pohonku pendek - Daunku kecil - Bungaku berwarna putih - Baunya sangat harum. Aku adalah bunga...;mawar;sepatu;Melati;anggrek;#;C
2;Fitri merayakan ulang tahun, sikap kita...;memberi selamat;mengamuk;membenci;acuh;#;A
2;Jangan ( buang ) sampah di sembarang tempat. Kata dalam kurung seharusnya...;dibuang;membuang;membuangkan;dibuangkan;#;B
2;Setiap pelajar harus mempunyai ...;KTP;Kartu pelajar;SIM;Paspor;#;B
