Kelas;Soal;A;B;C;D;E;Jawaban
11;"Kata ""atau"" merupakan konjungsi ...";tujuan;pilihan;temporal;kesimpulan;syarat;b
11;"Kata ""terakhir"" merupakan konjungsi";tujuan;pilihan;temporal;kesimpulan;syarat;c
11;Ceramah bertujuan untuk memberikan ...;nasihat baik;kebencian;kemurkaan;keburukan;kejahatan;a
11;Berikut yang tidak termasuk ungkapan terimakasih adalah ...;Terima kasih kepada pihak yang telah membantu saya;Assalamualaikum wr. Wb;Dengan adanya benda ini, saya ucapkan terima kasih;Ungkapan syukur kepada Tuhan dan ucapan terima kasih kepada juri atau tamu undangan.;saya panjatkan syukur saya kepada Tuhan Yang Maha Esa;b
11;Bahasa yang digunakan dalam teks ceramah adalah ...;efektif;ambigu;rancu;bahasa gaul;bahasa tidak baku;a
11;Isi dalam penutup penyampaian ceramah berupa ...;salam pembuka;pengenalan topik, tema, dan judul;materi pokok yang dibahas;kesimpulan dan ungkapan penutup;ucapan terima kasih;d
11;Kalimat salam penutup yang tepat adalah ...;Demikian saya akhiri, kurang lebihnya mohon maaf;Selesai semua saya mohon maaf;Sudah saya akhiri semua ini;Demikian saya awali, mohon maaf;Terima kasih;a
11;Perhatikan kalimat berikut! Kesempurnaan milik Tuhan, kesalahan milik saya. Kalimat tersebut sering terdapat pada bagian ...;pendahuluan;isi;materi;salam penutup;salam penutup;D
11;Faktor-faktor di dalam lingkungan masyarakat penulis yang mempengaruhi penulis dalam menulis cerpen tersebut disebut ...;latar belakang masyarakat;latar belakang penulis;penokohan;sudut pandang;alur;a
11;Nilai yang menjelaskan baik dan buruk seseorang dalam cerita adalah nilai ...;agama;sosial;budaya;moral;ekonomi;d
11;Salah satu jenis karya sastra yang memaparkan kisah atau cerita mengenai manusia beserta seluk-beluknya lewat tulisan pendek dan singkat disebut ...;cerita pendek;eksposisi;eksplanasi;deskripsi;prosedur;a
11;Berikut ini yang tidak termasuk ciri cerpen adalah ...;jalan ceritanya pendek;memiliki jumlah 10.000 kata;berasal dari kehidupan sehari-hari;tidak ada permasalahan dalam cerita;tidak ada permasalahan dalam cerita;D
11;Ringkasan atau inti dalam cerita pendek yang akan dikembangkan menjadi sebuah rangkaian-rangkaian peristiwa atau bisa juga sebagai gambaran awal dalam cerita disebut ...;abstrak;orientasi;komplikasi;evaluasi;koda;a
11;Sebuah gagasan pokok yang mendasari dari jalan cerita sebuah cerpen disebut ...;tema;alur;setting;tokoh;penokohan;a
11;Jalan dari sebuah kisah cerita merupakan karya sastra disebut ...;tema;penokohan;amanat;alur;setting;d
11;Berikut yang tidak termasuk setting adalah ...;tempat;latar;suasana;tokoh;tokoh;D
11;Tokoh baik dalam karya sastra disebut ...;protagonis;antagonis;campuran;tritagonis;pantonim;a
11;Penulis mulai memperkenalkan tokoh-tokoh, latar yang ada di dalam cerita termasuk tahapan alur...;perkenalan;pemunculan masalah;menuju konflik;ketegangan;penyelesaian;a
11;Berikut yang tidak termasuk unsur intrinsic cerpen adalah ...;tema;alur;setting;latar belakang;penokohan;d
11;Judul makalah: Upaya penghijauan di sekitar lingkungan. Penulisan judul makalah yang tepat untuk memperbaiki judul tersebut adalah ...;Upaya Penghijauan di Sekitar Lingkungan;Upaya penghijauan di sekitar lingkungan;Upaya PENGHIJAUAN di sekitar lingkungan;Upaya PENGHIJAUAN di Sekitar Lingkungan;UPAYA PENGHIJAUAN di SEKITAR LINGKUNGAN;a
11;"Dalam suatu seminar, seorang peserta menanggapi pembicaraan. ""Jika memerhatikan status OSIS dan KOPSIS, saya menyimpulkan bahwa KOPSIS mempunyai dasar hukum yang lebih kuat daripada OSIS. Bagaimana menurut pendapat Anda?"" Kalimat jawaban yang tepat untuk tanggapan peserta di atas adalah ...";Pernyataan Saudara tidak perlu dijawab karena semuanya sudah jelas.;Rupanya Saudara kurang bisa memahami penjelasan saya.;Pertanyaan Saudara saya tampung dulu, apabila ada waktu akan saya jawab.;Analisis Saudara tentang status OSIS dan KOPSIS tampaknya sejalan dengan saya.;Analisis Saudara tentang status OSIS dan KOPSIS tampaknya sejalan dengan saya.;D
11;Sumi : Biarlah semua tahu, keadaan yang memojokkan saya untuk bercerita. Kebenaran harus dibela, risiko apa pun kuhadapi. Ibu : Jadi! Bilang keladinya justru, Mam. Pantas! Dialog di atas menunjukkan drama telah sampai pada bagian ...;Pengenalan;komplikasi;klimaks;antiklimaks;ending;c
11;Seni drama yang ditampilkan dalam bentuk tarian dikenal dengan istilah ...;opera;pantomim;sendratari;drama komedi;drama tragedi;c
11;Improvisasi atau tindakan spontan pemain di atas panggung bertujuan untuk beberapa hal berikut, kecuali ...;mengalihkan perhatian penonton;menetralisasi suasana panggung;menarik kesempatan pemain lain untuk mengingat dialog yang terlupa;menjaga suasana penonton agar tetap tenang;menjaga suasana penonton agar tetap tenang;D
11;Berikut contoh dramawan Indonesia adalah ...;Taufik Ismail;Y.B. Mangn Wijaya;Umar Kayam;Putu Wijaya;Putu Wijaya;D
11;"A: ""Do you like the game?"" B: ""...""";The dinner is really delightful.;I do enjoy this game.;I am pleased with all the food.;Terrible!;The show is delightful.;b
11;"A: ""You look so happy with this picnic."" B: ""...""";Terrible!;That's really a wonderful trip.;I am so delighted with this picnic.;I enjoyed the travel.;Really.;c
11;"A: ""Will you pick me up this evening?"" B: ""...""";sure you can.;Of course please help yourself.;No, I don't think I can.;Sure I will.;Sure I will.;D
11;SBY and Budiono won the general election. The passive is...;SBY and Budiono are won by the general election.;The general election is won by SBY and Budiono.;The general election was won by SBY and Budiono.;The general election were won by SBY and Budiono.;SBY and Budiono are won the general election.;c
11;Robby will buy John a new cloth. The passive is...;John will be bought by Robby a new cloth.;John would be bought a new cloth by Robby.;A new cloth will be bought by Robby for John.;A new cloth will be bought by John for Robby.;A new cloth would be buy by John for Robby.;c
11;Some students are going to arrange a reunion party at school next month. The passive is...;A reunion party are going to arrange by some student at school next month.;A reunion party is going to arrange by some student at school next month.;A reunion party is going to arrange by some students at school next month.;A reunion party is going to be arranged by some students at school next month.;A reunion party is held go to be arranged by some students at school next month.;d
11;Neither James nor Jenny has been told yet. The passive is...;James has told Jenny already.;Jenny has told James already.;Nobody has told James and Jenny.;They have told either James or Jenny.;James have told Jenny already.;c
11;My book was stolen. The passive is...;Someone stole my book.;Someone has stolen my book.;Someone have stolen my book.;Someone was stealing my book.;Someone is stolen my book.;a
11;"The synonym of the word ""dangerous"" in the text is...,";rude;impolite;health risk;harmful;disease;d
11;Pilot flies the plane twice a week. The passive is...;The plane is being flew by pilot twice a week.;The plane is flown by pilot twice a week.;The plane is flew by pilot twice a week.;The plane is being flown by pilot twice a week.;The plane is fly by pilot twice a week.;b
11;Math is being taught by Mr. Heri. The active sentence is...;Mr. Heri teaches Math.;Mr. Heri taught Math.;Mr. Heri was teaching Math.;Mr. Heri is teaching Math.;Mr. Heri will teach Math.;a
