Kelas;Soal;A;B;C;D;E;Jawaban
9;"Jln., Rmh, LT 200, LB, ISD, Jln. Muh TAMRIN 25A (Sebelah BRI) T.0813234545 Jln., Rmh, LT, dan LB dalam iklan baris di atas merupakan singkatan dari ...";"dijual, rumah, lantai, dan lebar";"jual, rumah, luas tanah, dan luas bangunan";"jual, rumah, luas tanah, dan luas bangunan";"jual, rumah, lantai, dan luas bangunan";#;B
9;Penulisan iklan baris yang tepat untuk kasus penjualan motor Honda Supra 2000 adalah...;"Dijual Honda Supra 2000, mesin bagus, harga nego, hubungi Sony Jalan Ronggowarsito 20 Surakarta Handphone 081329456789";"Jln. Honda Supra th 2000, msn bagus. Hrg 7 jt Hub. Sony Jl. Ronggowarsito 20 Surakarta HP 081329456789";Djl. Hd. Supra. Msn. Bgs. Hrg 7 Jt. Hub. Sony Jln Ronggowarsito 20 Surakarta.;Djl. Hd. Supra. Msn. Bgs. Hrg 7 jt Hub. Sony 081329456789;#;D
9;"Untuk mengetahui informasi tentang sebuah istilah penting dengan cepat dan tepat, kita harus membaca...";buku telepon;Indeks;ensiklopedia;daftar kata;#;B
9;Manfaat resensi buku adalah...;mengetahui harga buku.;mengetahui teknik penulisan.;mengetahui kelebihan dan kekurangan buku.;mengetahui teknik penulisan buku dan pengarang yang bagus.;#;C
9;"Berikut hal-hal yang dapat dinilai dari buku yang diresensi, kecuali...";jumlah buku;data buku;penggunaan bahasa;kelebihan dan kekurangannya;#;A
9;Kalimat berikut ini berupa kritik/saran dengan bahasa yang santun adalah...;Belajarlah yang tekun supaya tidak goblok!;Belajarlah yang rapi agar prestasimu menurun!;"Belajarlah yang rajin, prestasimu akan meningkat!";Belajarlah bagaimanapun kamu tidak akan pintar!;#;C
9;Ia malas belajar...tidak dapat mengerjakan soal. Konjungsi yang tepat untuk kalimat tersebut...;sebab;karena;sehingga;akibat;#;C
9;Kalimat berikut yang merupakan kalimat pengandaian adalah...;Yuli memang malas belajar sehingga tidak naik kelas.;Suaranya merdu seperti penyanyi.;Daripada melamun lebih baik kamu belajar.;"Sekiranya ia dapat membeli sepeda, ia akan ke rumahmu naik sepeda.";#;D
9;Anak itu sehat secara lahiriah. Akhiran-iah pada kata lahiriah berfungsi membentuk...;kata benda;kata kerja;kata sifat;kata keadaan;#;C
9;Kata berikut ini yang tepat mendapat imbuhan -wi adalah...;lahir;batin;surga;badan;#;C
9;"Apabila beberapa orang berkumpul mengadakan tukar pikiran untuk memecahkan masalah yang dialami bersama, bentuk pertemuan tersebut disebut...";Seminar;Pertemuan;Rapat khusus;Diskusi kelompok;#;D
9;Hal-hal yang tidak perlu diperhatikan dalam menanggapi penjelasan ketika berdiskusi adalah ...;Menyampaikan tanggapan secara logis;Kemampuan memilih ejaan yang tepat;Menyampaikan tanggapan disertai data yang akurat;Menyampaikan tanggapan dengan bahasa yang baik dan benar.;#;B
9;Berikut ini yang termasuk ciri syair adalah...;Syair selalu selesai dalam satu bait;Pola rimanya a-b-a-b (rima silang);Syair terdiri atas empat baris/larik dalam setiap bait;Syair memiliki sampiran;#;C
9;Isi syair "Wahai Ananda dengarlah pesan..." adalah...;Kamu harus kuat menanggung beban derita;Kamu harus berkata jujur agar tidak dibebani masalah;Kamu harus berani bertanggung jawab dalam setiap perbuatan;Kamu harus selalu menghormati orang yang telah bertanggung jawab;#;C
9;Berikut ini yang tidak termasuk manfaat membaca cepat adalah...;Mengurangi kejenuhan;Meningkatkan wawasan;Meningkatkan pemahaman;Meningkatkan kemahiran berbahasa yang lain;#;A
9;Tujuan yang ingin dicapai seseorang ketika membaca memindai sebuah teks atau wacana adalah...;Mengetahui topik atau gagasan dari suatu teks atau wacana;Mengetahi informasi khusus secara cepat tanpa membaca keseluruhan;Mengetahui pendapat seseorang secara umum;Memahami dan menemukan informasi dari suatu bacaan;#;B
9;Laporan tersebut menyampaikan peristiwa...;Banjir di Jawa Tengah dan Jawa Timur;Nasib penduduk yang terkena banjir;Rumah-rumah tergenang banjir;Para penduduk mengungsi ke tempat aman;#;A
9;Pernyataan yang tidak sehubungan dengan syair tersebut adalah...;Terdiri atas empat larik;Mengandung pesan moral agar kita selalu menepati janji;Pola rima dala bait tersebut a-a-a-a;Dua larik pertama sampiran dan dua larik terakhir memuat isinya;#;D
9;Baris yang tepat untuk melengkapi syair tersebut adalah...;Kepada suamimu berbuat bakti;Duduklah dia mendiamkan diri;Ditonton oleh seorang diri;Celakalah bertambah sehari-hari;#;D
9;"Unsur pembangun cerita yang berkaitan dengan tempat, waktu, dan keadaan adalah...";Alur;Tema;Latar;Tokoh;#;C
9;Tanda baca (-) yang menandai tahun pada kalimat tersebut sama artinya dengan...;Jarak tempuh;Sampai ke;Dilanjutkan;Sampai dengan;#;D
9;"Alur penceritaan yang digambarkan secara runtun dari A sampai Z, disebut...";Alur maju;Alur konferensional;Alur teratur;Alur mundur;#;A
9;"Cerita atau narasi yang fiktif serta relatif pendek, disebut...";Novel;Prosa;Pantun;Cerpen;#;D
9;Nilai didik yang terdapat dalam kutipan cerpen di atas adalah...;Kita harus memanfaatkan waktu dengan sebaik-baiknya;Kita harus menolong orang yang kesusahan;Nenek yang lemah harus kita manfaatkan;Kita harus pasrah menerima nasib;#;B
