Kelas;Soal;A;B;C;D;E;Jawaban
7;This animal lives in the sea and has 8 tentacles. What animal is it?;Octopus;Elephant;Zebra;Tiger;#;A
7;Lisna : Give me the chilli sauce, please. Zul : ........;Here you are;Never mind;No, thanks;It is so nice;#;A
7;Ani : ..........? Ida : I think it's great!;Have you read this book?;What do you think about this book?;What is it?;Do you know this?;#;B
7;Kate : we'll have a long holiday next month. What are you going to do in this holiday? Yani : ......... Kate : I hope you have a nice trip.;I'm thinking of going to Bali;Sorry, I can't tell you;It's not your business;I don't know what to do;#;A
7;Bowo : I feel tired and I feel dizzy. Sri : I think.... and don't leave the bed if it is not necessary.;You must sing;You should lie down and have some rest;I will take you to the hospital;I must take some rest too;#;B
7;Cathrine : Do you like watching movies? Nadine : .......... Cathrine : What is your favorite movie? Nadine : My favorite movie is Ayat -- Ayat Cinta;I love watching movies;I dislike watching movie;I hate watching movie;It's not my favorite one;#;A
7;Alex : How do you feel about this omelet? Bram : It is very tasty. I like this food. Alex : I agree with you.;Alex dislike the omelet;Bram doesn't like omelet;Bram loves omelet, while Alex hate it;Bram and Alex likeS omelet;#;D
7;Alice : Hi Adam! Do you know where my mother is? Adam : She's ... The theatre;Under;At;In;On;#;B
7;Joko : I had five pounds ... my pocket Riana : Poor you. Then, should I treat you for this time?;In;At;On;Below;#;A
7;Dilan : Where did you go? I couldn't find you. Milea : I'm sorry, I went home to put our pictures ... the wall;Above;On;In;At;#;B
7;Sinta : Do you need any help mom? Mother : Yes, please. I can't find my glasses.;Preference;Apology;Offering help;Asking opinion;#;C
7;Marta : It's very hot here. ......? Lina : Sure, No problem.;Could you close the door?;Would you mind if I turn on the fan?;May I leave now?;Would you turn off the fan?;#;B
7;Rina : Finally, It's break time. ..... a cup of tea? Rama : That's very nice of you.;Shall I have;May you get me;Would you like;May you help me get;#;C
7;She .... her cat everyday;To feed;Feed;Feeds;Feeding;#;C
7;I .... always .... to the dentist;Do not, go;Does not, go;Do not, went;Does not, went;#;A
7;Gina : Do you like to sing? Ulfah : ........;Yes, I likes to sing;Yes, I like to sing;Yes, I am liking to sing;Yes I liked to sing;#;B
7;Mom : Do you enjoy playing in the park? Me : ...........;No, I does not enjoy playing in the park;No, I no enjoy playing in the park;No, I don't enjoy playing in the park;No, I don't enjoys playing in the park;#;C
7;Jane : Roxy, what do you think of the cake I made for you? Roxy : It's really delicious! I love it! Jane : Thank you.;Asking for an opinion;Asking for help;Requesting an attention;Giving an item;#;A
