Kelas;Soal;A;B;C;D;E;Jawaban
10;"Jln., Rmh, LT 200, LB, ISD, Jln. Muh TAMRIN 25A (Sebelah BRI) T.0813234545. Jln., Rmh, LT, dan LB dalam iklan baris di atas merupakan singkatan dari ...";"dijual, rumah, lantai, dan lebar";"jual, rumah, luas tanah, dan luas bangunan";"jual, rumah, luas tanah, dan luas bangunan";"jual, rumah, lantai, dan luas bangunan";#;B
10;Sony memiliki sepeda bermerek Honda Supra yang dibeli tahun 2000 dalam keadaan baru. Saat ini kondisi mesin masih bagus. Sony tinggal di Jalan Ronggo Warsito 20 Surakarta akan menjual sepeda motornya dengan cepat dengan harga tujuh juta rupiah. Yang berminat dapat menghubunginya ke Handphone 081329456789. Penulisan iklan baris yang tepat adalah...;"Dijual Honda Supra 2000, mesin bagus, harga nego, hubungi Sony Jalan Ronggowarsito 20 Surakarta Handphone 081329456789";"Jln. Honda Supra th 2000, msn bagus. Hrg 7 jt Hub. Sony Jl. Ronggowarsito 20 Surakarta HP 081329456789";Djl. Hd. Supra. Msn. Bgs. Hrg 7 Jt. Hub. Sony Jln Ronggowarsito 20 Surakarta.;Djl. Hd. Supra. Msn. Bgs. Hrg 7 jt Hub. Sony 081329456789;#;B
10;"Untuk mengetahui informasi tentang sebuah istilah penting dengan cepat dan tepat, kita harus membaca...";buku telepon;Indeks;ensiklopedia;daftar kata;#;C
10;Manfaat resensi buku adalah...;mengetahui harga buku.;mengetahui teknik penulisan.;mengetahui kelebihan dan kekurangan buku.;mengetahui teknik penulisan buku dan pengarang yang bagus.;#;C
10;"Berikut hal-hal yang dapat dinilai dari buku yang diresensi, kecuali...";jumlah buku;data buku;penggunaan bahasa;kelebihan dan kekurangannya;#;A
10;Kalimat berikut ini berupa kritik/saran dengan bahasa yang santun adalah...;Belajarlah yang tekun supaya tidak goblok!;Belajarlah yang rapi agar prestasimu menurun!;"Belajarlah yang rajin, prestasimu akan meningkat!";Belajarlah bagaimanapun kamu tidak akan pintar!;#;C
10;Ia malas belajar...tidak dapat mengerjakan soal. Konjungsi yang tepat untuk kalimat tersebut...;sebab;karena;sehingga;akibat;#;C
10;Kalimat berikut yang merupakan kalimat pengandaian adalah...;Yuli memang malas belajar sehingga tidak naik kelas.;Suaranya merdu seperti penyanyi.;Daripada melamun lebih baik kamu belajar.;"Sekiranya ia dapat membeli sepeda, ia akan ke rumahmu naik sepeda.";#;D
10;Anak itu sehat secara lahiriah. Akhiran-iah pada kata lahiriah berfungsi membentuk...;kata benda;kata kerja;kata sifat;kata keadaan;#;C
10;Kata berikut ini yang tepat mendapat imbuhan --wi adalah...;lahir;batin;surga;badan;#;C
10;"Apabila beberapa orang berkumpul mengadakan tukar pikiran untuk memecahkan masalah yang dialami bersama, bentuk pertemuan tersebut disebut...";Seminar;Pertemuan;Rapat khusus;Diskusi kelompok;#;D
10;Hal-hal yang tidak perlu diperhatikan dalam menanggapi penjelasan ketika berdiskusi adalah ...;Menyampaikan tanggapan secara logis;Kemampuan memilih ejaan yang tepat;Menyampaikan tanggapan disertai data yang akurat;Menyampaikan tanggapan dengan bahasa yang baik dan benar.;#;B
